Gene_id	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4
YHR112C	30	14	17	12	24	24	19	20
YHR113W	24	34	35	10	25	29	10	30
YHR114W	37	28	35	49	38	35	31	26
YHR115C	25	21	21	15	15	30	23	22
YHR116W	12	7	11	8	5	9	8	6
YHR117W	34	42	31	31	36	40	32	39
YHR118C	19	21	19	33	28	23	25	21
YHR119W	64	68	62	65	86	49	61	70
YHR120W	60	68	37	61	48	52	50	49
YHR121W	3	7	4	5	10	7	10	6
YHR122W	8	15	17	12	9	15	12	6
YHR123W	25	23	28	22	24	18	25	24
YHR124W	36	38	29	32	38	34	33	35
YHR125W	8	3	3	4	3	5	6	7
YHR126C	3	5	5	11	8	7	5	7
YHR127W	13	18	18	15	14	6	13	11
YHR128W	12	10	8	8	15	10	16	10
YHR129C	28	17	17	16	21	24	16	32
YHR130C	8	4	5	4	5	4	4	6
YHR131C	47	51	40	45	53	46	36	41
YHR131W-A	3	7	6	9	6	5	6	9
YHR132C	24	21	15	24	29	22	14	28
YHR132W-A	5	4	11	9	6	6	6	0
YHR133C	23	17	15	14	14	15	17	18
YHR134W	16	18	8	17	13	15	20	10
YHR135C	30	21	26	28	29	32	20	30
YHR136C	9	4	7	4	4	8	3	9
YHR137C-A	27	28	16	30	25	19	17	31
YHR137W	37	52	44	36	38	38	35	27
YHR138C	7	4	5	3	7	3	3	6
YHR139C	17	14	14	22	25	23	13	17
YHR139C-A	2	3	4	2	6	3	3	5
YHR140W	10	17	19	18	11	10	9	9
YHR141C	3	4	7	5	2	3	4	4
YHR142W	21	15	19	18	12	14	16	21
YHR143W	3	1	4	2	25	14	17	23
YHR143W-A	2	2	2	2	3	0	3	3
